,Q (m3/s),Mod_load(t),Obs_load(t)
2010/4/28,1.128934455,4.333547506,0.16010
2010/4/29,1.092007579,4.183147055,0.14560
2010/4/30,1.058218069,4.045713488,0.13910
2010/5/1,1.028339694,3.931985626,0.13390
2010/5/2,1.084649115,4.435795183,0.14190
2010/5/3,1.028860392,4.249476737,0.14340
2010/5/4,0.969795996,3.909678035,0.13860
2010/5/5,0.924811375,3.609266133,0.13020
2010/5/6,0.891527844,3.429025178,0.12560
2010/5/7,0.861362723,3.279704113,0.11810
2010/5/8,0.83442082,3.158248295,0.11380
2010/5/9,0.853082435,3.41382607,0.12280
2010/5/10,1.115019306,16.04539779,0.16270
2010/5/11,0.935844299,8.22215477,0.19180
2010/5/12,0.814885943,4.944116242,0.16680
2010/5/13,0.751058861,3.546313881,0.14710
2010/5/14,0.71026615,2.944113544,0.13240
2010/5/15,0.682511832,2.662626091,0.12600
2010/5/16,0.66026444,2.507202324,0.12310
2010/5/17,0.687487627,2.786956175,0.12180
2010/5/18,0.865704257,5.258766212,0.12450
2010/5/19,0.700253607,3.776751957,0.13280
2010/5/20,0.636432846,2.927042715,0.13990
2010/5/21,0.589903861,2.44656422,0.12630
2010/5/22,0.559827499,2.189802935,0.12160
2010/5/23,0.538906072,2.044040196,0.11800
2010/5/24,0.521557717,1.947202153,0.11640
2010/5/25,0.505935436,1.873099693,0.11280
2010/5/26,0.498517124,1.883659517,0.10700
2010/5/27,0.480603606,1.796320687,0.10020
2010/5/28,0.465291597,1.720685142,0.09940
2010/5/29,0.451197936,1.658503685,0.10230
2010/5/30,0.437706481,1.603142158,0.10260
2010/5/31,0.425045863,1.553030181,0.10100
2010/6/1,0.41344173,1.50692517,0.09860
2010/6/2,0.401456205,1.461306468,0.09700
2010/6/3,0.434727404,1.492581738,0.09610
2010/6/4,0.402512026,1.407663183,0.09700
2010/6/5,0.378864504,1.347367626,0.09520
2010/6/6,0.363968982,1.302896671,0.09120
2010/6/7,0.350436396,1.260424795,0.08980
2010/6/8,0.339362655,1.222902928,0.08540
2010/6/9,0.329380694,1.187170387,0.09710
2010/6/10,0.319684087,1.152210666,0.10680
2010/6/11,0.310911313,1.11990683,0.09420
2010/6/12,0.302018696,1.087226071,0.11010
2010/6/13,0.293595714,1.056115039,0.09570
2010/6/14,0.285556883,1.026353542,0.08930
2010/6/15,0.284157754,1.007797184,0.08710
2010/6/16,0.274357153,0.973914836,0.08570
2010/6/17,0.265419261,0.944013353,0.08560
2010/6/18,0.256899446,0.915401352,0.08350
2010/6/19,0.251151794,0.892165033,0.08260
2010/6/20,0.24305839,0.864658827,0.08020
2010/6/21,0.236077712,0.840196872,0.07760
2010/6/22,0.229109799,0.815920701,0.07800
2010/6/23,0.224333456,0.796014155,0.07900
2010/6/24,0.218121507,0.773322697,0.08240
2010/6/25,0.283962022,0.863438066,0.08970
2010/6/26,0.238449067,0.767146715,0.09160
2010/6/27,0.21885112,0.728918534,0.08950
2010/6/28,0.203387166,0.695979672,0.08420
2010/6/29,0.193873156,0.672964418,0.06800
2010/6/30,0.186151839,0.65215412,0.05140
2010/7/1,0.180599596,0.634797377,0.02120
2010/7/2,0.175378637,0.618013377,0.02050
2010/7/3,0.170533973,0.60158042,0.02070
2010/7/4,0.165861041,0.585489467,0.02090
2010/7/5,0.161380069,0.569795554,0.02110
2010/7/6,0.157175068,0.554865656,0.02110
2010/7/7,0.15311046,0.540331794,0.02210
2010/7/8,0.154132832,0.534100897,0.02310
2010/7/9,0.14986155,0.518374951,0.02390
2010/7/10,0.143996143,0.501307499,0.03090
2010/7/11,0.17978275,0.548699192,0.02890
2010/7/12,0.154036012,0.493999214,0.02950
2010/7/13,0.141950078,0.470409708,0.10670
2010/7/14,0.14091775,0.464020427,0.07640
2010/7/15,0.130723648,0.441310399,0.04430
2010/7/16,0.12505048,0.428057968,0.03110
2010/7/17,0.120898419,0.41684561,0.02870
2010/7/18,0.116989604,0.405837522,0.03050
2010/7/19,0.11406422,0.396349262,0.02920
2010/7/20,0.111858367,0.387662366,0.02870
2010/7/21,0.108786269,0.377680353,0.03920
2010/7/22,0.105581357,0.367024055,0.03580
2010/7/23,0.101328154,0.352087443,0.03150
2010/7/24,0.0947182,0.328069491,0.03160
2010/7/25,0.088254448,0.301086251,0.03250
