,date,Loads (kg),Concentration (mg/L),Flow (ML),Q (m3/s),Load (t),water_year,normalized_flow,normalized_DIN_load,cum_flow,cum_din_load
465,2010-10-09,19.733,0.504809414,39.09,0.4524,0.019733,2010,6.234673610839887e-05,0.00019836558758491138,0.02228919244135955,0.057777310283845154
466,2010-10-10,19.32,0.526430518,36.7,0.4248,0.01932,2010,5.8543089077913006e-05,0.00019421391335025024,0.022347735530437462,0.0579715241971954
467,2010-10-11,20.725,0.550903775,37.62,0.4354,0.020725,2010,6.000391003889671e-05,0.0002083376477320878,0.02240773944047636,0.058179861844927495
468,2010-10-12,21.012,0.573002454,36.67,0.4244,0.021012,2010,5.84879637586306e-05,0.00021122270948837775,0.022466227404234988,0.05839108455441587
469,2010-10-13,46.791,0.59934674,78.07,0.9036,0.046791,2010,0.00012452809625895054,0.00047036559107513246,0.02259075550049394,0.058861450145491004
470,2010-10-14,84.431,0.618089312,136.6,1.581,0.084431,2010,0.00021788282446370163,0.00084874093778856,0.02280863832495764,0.05971019108327957
471,2010-10-15,46.571,0.641032347,72.65,0.8409,0.046571,2010,0.00011588720246143372,0.0004681540454779764,0.022924525527419075,0.06017834512875754
472,2010-10-16,32.719,0.665020325,49.2,0.5694,0.032719,2010,7.847089199850204e-05,0.00032890709269704126,0.02300299641941758,0.06050725222145458
473,2010-10-17,28.296,0.688467153,41.1,0.4757,0.028296,2010,6.555778595659891e-05,0.00028444497371421745,0.023068554205374178,0.060791697195168796
474,2010-10-18,25.124,0.712939841,35.24,0.4079,0.025124,2010,5.621404433823143e-05,0.0002525585071952219,0.023124768249712407,0.06104425570236402
475,2010-10-19,22.634,0.748478836,30.24,0.35,0.022634,2010,4.823465437210346e-05,0.00022752783202741015,0.02317300290408451,0.06127178353439143
476,2010-10-20,22.425,0.777565881,28.84,0.3338,0.022425,2010,4.60020789411661e-05,0.0002254268637101119,0.023219004983025676,0.06149721039810154
477,2010-10-21,24.791,0.792044728,31.3,0.3622,0.024791,2010,4.991597661021679e-05,0.00024921103135952657,0.023268920959635894,0.06174642142946107
478,2010-10-22,30.126,0.802717826,37.53,0.4344,0.030126,2010,5.98660967406907e-05,0.000302841012090561,0.023328787056376584,0.06204926244155163
479,2010-10-23,36.381,0.82552757,44.07,0.51,0.036381,2010,7.028478208506505e-05,0.00036571927440970256,0.02339907183846165,0.06241498171596133
480,2010-10-24,31.394,0.848715869,36.99,0.4281,0.031394,2010,5.899787296199283e-05,0.00031558755671416954,0.023458069711423644,0.06273056927267551
481,2010-10-25,30.029,0.87446127,34.34,0.3975,0.030029,2010,5.478078603688893e-05,0.00030186592153181495,0.023512850497460533,0.06303243519420731
482,2010-10-26,28.173,0.899521073,31.32,0.3625,0.028173,2010,4.995732059967858e-05,0.00028320851867580745,0.02356280781806021,0.06331564371288312
483,2010-10-27,25.898,0.887221651,29.19,0.3379,0.025898,2010,4.656711346381074e-05,0.0002603391267052164,0.02360937493152402,0.06357598283958835
484,2010-10-28,26.79,0.85810378,31.22,0.3613,0.02679,2010,4.9791944641831376e-05,0.0002693059388536855,0.02365916687616585,0.06384528877844203
485,2010-10-29,29.696,0.825118088,35.99,0.4165,0.029696,2010,5.739923870280312e-05,0.0002985184456961196,0.023716566114868654,0.06414380722413815
